name,status,description,start_date,end_date,requirements,funding,contact,url
Accompagner les projets de recherche et de développement (DOMO_TA_1.1.1.1),NA,"Le projet vise à renforcer la production de connaissances et d'innovations des offreurs publics de recherche et de technologie, ainsi que leur transfert effectif dans les entreprises, dans le but de créer de la valeur et des emplois. Cela peut se faire soit par le transfert vers les entreprises existantes, en particulier les PME régionales, grâce à des installations technologiques et d'innovation, soit par la création d'entreprises basées sur des technologies de rupture.",NA,NA,"- The project should focus on research and innovation.
- The goal is to strengthen the production of knowledge and innovations.
- The transfer of knowledge and technology to businesses is essential.
- Value creation and job creation are important outcomes.
- The project should either transfer knowledge and technology to existing businesses, particularly regional SMEs, or create new businesses based on disruptive technologies.
- Eligible candidates include research and knowledge dissemination organizations, as well as different sizes of businesses.
- The project should be located in the Auvergne-Rhône-Alpes region.
- Applicants must contact the managing authority to verify project eligibility and receive support.
- The application should be submitted through the e-synergie portal.
- Additional resources and contacts are available from the Auvergne-Rhône-Alpes Region's European Funds Department.",NA,"Contactez la Région Auvergne-Rhône-Alpes | Direction des Fonds Européens, 101 cours Charlemagne, CS 20033, 69269 LYON CEDEX 02, France.",https://www.europeenauvergnerhonealpes.fr/aides-europeennes/accompagner-les-projets-de-recherche-et-de-developpement-domota1111
Soutenir et développer les infrastructures de RDI et les pôles d’innovation (DOMO_TA_1.1.1.2),NA,"Le projet vise à soutenir et développer les infrastructures de recherche et développement (RDI) ainsi que les pôles d'innovation. Le financement est assuré par le Fonds européen de développement régional (FEDER) et concerne des équipements de recherche et de développement justifiés par une stratégie d'excellence. Ces infrastructures sont principalement destinées à la recherche fondamentale, mais peuvent également offrir des services aux entreprises. Les candidats éligibles sont les organismes de recherche et de diffusion des connaissances ainsi que les pôles d'innovation. Le territoire éligible est la région Auvergne-Rhône-Alpes. Le dépôt des candidatures est ouvert et la procédure de demande d'aide se fait via le portail e-synergie.",NA,NA,"- The project should be justified by a strategy of excellence in research.
- The project should finance research equipment and R&D facilities.
- The infrastructure should be primarily intended for research, but can also offer services to businesses.
- The project should develop technologies that are of economic interest to businesses.
- Eligible applicants include research and knowledge dissemination organizations, innovation clusters, and eligible territories.
- The project must be submitted through the e-synergie portal.
- Applicants should contact the managing authority before submitting their application to verify eligibility and receive support.
- The region's document of implementation (DOMO) corresponding to the project can be downloaded.
- The project must be submitted to the Region Auvergne-Rhône-Alpes | Direction des Fonds Européens.
- The project should align with the objectives of the European funding programs.
- Information on European funds, programs, calls for projects, and beneficiary profiles can be accessed.
- The project must go through the funding application process and can be followed through the funding process.
- The project may require communication activities and a request for payment.
- The project can be accessed through the e-synergie portal.
- The project should adhere to accessibility and data privacy requirements.
- The website mentions the use of cookies, implying that the project should comply with cookie management regulations.",NA,Contactez la Région Auvergne-Rhône-Alpes | Direction des Fonds Européens.,https://www.europeenauvergnerhonealpes.fr/aides-europeennes/soutenir-et-developper-les-infrastructures-de-rdi-et-les-poles-d-innovation
Accompagner la valorisation et le transfert de technologies par la création d’entreprises de haute technologie issues des organismes de recherche (DOMO_TA_1.1.1.3),NA,Le projet vise à accompagner la valorisation et le transfert de technologies par la création d'entreprises de haute technologie issues des organismes de recherche.,NA,NA,"- Support activities for technological-economic maturation
- Transfer of innovative technologies from research laboratories
- Creation of high-tech companies
- Valorization of Intellectual Property
- Mobilization of resources and skills
- Mutualization of structures
- Emergence of high-tech business projects
- Eligible candidates: Technology Transfer Acceleration Companies or research valorization subsidiaries supported by the national valorization fund",NA,Contactez la Région Auvergne-Rhône-Alpes | Direction des Fonds Européens.,https://www.europeenauvergnerhonealpes.fr/aides-europeennes/accompagner-la-valorisation-et-le-transfert-de-technologies-par-la-creation-d
Animate the regional innovation strategy (DOMO_TA_1.1.1.4),NA,"La région Auvergne-Rhône-Alpes pilote la stratégie régionale d'innovation grâce au soutien du FEDER. L'objectif est de mettre en réseaux les acteurs économiques et les acteurs de la recherche et de l'innovation. Les candidats éligibles sont les pôles de compétitivité, les clusters, les pôles d'innovation ayant une personnalité juridique, la région, les associations et les territoires éligibles. Les candidatures peuvent être déposées sur le portail e-synergie. Il est recommandé de contacter l'autorité de gestion avant de déposer un dossier pour vérifier l'éligibilité du projet et être accompagné dans la procédure de demande d'aide.",NA,NA,"- The project must aim to animate and involve economic actors and actors in research and innovation.
- Eligible candidates include competitiveness clusters, innovation hubs with legal personality, the region, and associations.
- Applicants must contact the managing authority before submitting their application to verify the eligibility of their project and receive support.
- Applications must be submitted through the e-synergie portal.
- The project must align with the objectives of the Regional Operational Program for the European Regional Development Fund (FEDER) and other relevant European funds.
- The project must be located in the Auvergne-Rhône-Alpes region in France.",NA,Contactez la Région Auvergne-Rhône-Alpes | Direction des Fonds Européens.,https://www.europeenauvergnerhonealpes.fr/aides-europeennes/animer-la-strategie-regionale-d-innovation-domota1114
Accompagner les entreprises dans leurs transformations digitales (DOMO_TA_1.1.2.1),NA,"Le projet consiste à accompagner les entreprises dans leur transformation digitale en finançant des services et produits numériques favorisant le développement touristique et l'attractivité régionale. Les candidats éligibles incluent les collectivités territoriales, les PME, les établissements publics, les associations, les chambres consulaires, les agences publiques, les organismes de formation, les structures ou groupements labélisés Digital Innovation Hub - e-DIH, ainsi que les comités régionaux et départementaux du tourisme et les offices touristiques. Les dépôts de candidatures sont ouverts et il est recommandé de contacter l'autorité de gestion avant de soumettre un dossier pour vérifier l'éligibilité du projet.",NA,NA,"- The project should focus on the digital transformation of businesses.
- The project should aim to develop digital services and products for tourism and regional attractiveness.
- Eligible candidates for funding include: local authorities, SMEs, public establishments, associations, chambers of commerce, public agencies, training organizations, Digital Innovation Hub structures or groups, regional and departmental tourism committees, and tourist offices.
- The project must be submitted through the e-synergie portal.
- It is recommended to contact the managing authority before submitting a project to verify eligibility and receive support.
- The regional contact for the European Funds is the Auvergne-Rhône-Alpes Regional Direction for European Funds.
- The Document of Implementation (DOMO) corresponding to the project can be downloaded.
- The project should be located in the eligible territories of Auvergne-Rhône-Alpes.
- The project should align with the objectives of the FEDER funding program.
- The application period for funding is currently open.
- The project should be in line with the thematic areas of digital and digital transformation of businesses.
- The project should contribute to the development of tourism and regional attractiveness.
- The project should benefit users and support programs promoting digital transformation of businesses.",NA,Contactez la Région Auvergne-Rhône-Alpes | Direction des Fonds Européens.,https://www.europeenauvergnerhonealpes.fr/aides-europeennes/accompagner-les-entreprises-dans-leurs-transformations-digitales-domota1121
"Développer les services numériques permettant d’améliorer la relation entre administrations publiques et usagers dans les domaines de la santé, de l’éducation, de la mobilité (DOMO_TA_1.1.2.2)",NA,"The project aims to develop digital services and applications for citizens, businesses, and public authorities in the areas of health, education, and mobility.",NA,NA,"- Develop digital services to improve the relationship between public administrations and users in the fields of health, education, and mobility.
- Eligible candidates include territorial collectivities, their groups and operators, the state, public establishments, associations, and businesses.
- Contact the managing authority to verify the eligibility of the project and receive support before submitting the application.
- Submit the application through the e-synergy portal.
- Download the corresponding implementation document (DOMO).
- The project must be aimed at developing digital services and uses for citizens, businesses, and public authorities.",NA,"Région Auvergne-Rhône-Alpes
Direction des Fonds Européens
101 cours Charlemagne
CS 20033
69269 LYON CEDEX 02
France",https://www.europeenauvergnerhonealpes.fr/aides-europeennes/developper-les-services-numeriques-permettant-d-ameliorer-la-relation-entre
Soutenir le développement des PME (DOMO_TA_1.1.3.2),NA,"Le projet vise à soutenir le développement, l'innovation et l'adaptation des entreprises afin qu'elles puissent proposer une offre distincte de leurs concurrents et répondre aux besoins du marché.",NA,NA,"- The project must aim to strengthen the development, innovation, and adaptability of companies.
- The project must enable companies to offer a unique and competitive product or service that meets market needs.
- Eligible candidates include intermediate financial institutions, local authorities and their operators, associations, chambers of commerce, and SMEs.
- The project must be located in the Auvergne-Rhône-Alpes region.
- Interested parties must contact the managing authority before submitting their application to verify the eligibility of their project.
- Applications must be submitted through the e-synergie portal.
- The project must align with the objectives and themes of the European Regional Development Fund (ERDF).
- The region provides resources and contacts for assistance in applying for funding.
- The region also provides a downloadable Document of Implementation (DOMO) for reference.
- There are additional sections on other services and needs related to European funds, but they are not requirements for the project.",NA,Région Auvergne-Rhône-Alpes,https://www.europeenauvergnerhonealpes.fr/aides-europeennes/soutenir-le-developpement-des-pme-domota1132
Soutenir la rénovation énergétique des logements (DOMO_TA_2.2.1.1),NA,Soutenir la rénovation énergétique des logements sociaux en Auvergne-Rhône-Alpes par le biais du Fonds européen de développement régional (FEDER). Objectif : améliorer les performances énergétiques du parc locatif social de la région. Bailleurs sociaux peuvent soumettre leur candidature. Date limite de dépôt des candidatures à vérifier auprès de l'autorité de gestion. Programme géré par la Région Auvergne-Rhône-Alpes. Contacts et ressources disponibles sur le site de la Région.,NA,NA,"- The project aims to support the thermal renovation of buildings in the social residential sector.
- Eligible candidates are social landlords defined by the Construction and Housing Code.
- The project must be located in the Auvergne-Rhône-Alpes region.
- Interested parties must contact the managing authority to verify project eligibility and receive guidance.
- The application must be submitted through the e-synergie portal.",NA,Contactez la Région Auvergne-Rhône-Alpes | Direction des Fonds Européens.,https://www.europeenauvergnerhonealpes.fr/aides-europeennes/soutenir-la-renovation-energetique-des-logements-domota2211
Développer les énergies renouvelables (DOMO_TA_2.2.2.1),NA,"Le projet vise à accompagner la création d'unités de méthanisation territoriales qui valorisent le biogaz par cogénération ou injection de biométhane dans les réseaux de gaz naturel. Cela inclut notamment la valorisation des boues de stations d'épuration, des biodéchets des collectivités, des industries agroalimentaires et de la restauration collective, en complément des déchets agricoles. Les candidats éligibles comprennent les organismes publics, les collectivités territoriales et leurs groupements, les syndicats d'énergie, les sociétés d'économie mixte, à l'exclusion des PME et des entreprises agricoles individuelles.",NA,NA,"- The project should focus on the development of renewable energies, specifically the creation of territorial methanization units.
- The methanization units should valorize biogas through cogeneration or injection of biomethane into natural gas networks.
- Eligible candidates include public organizations, territorial collectives, energy unions, mixed economy companies, and syndicates.
- Partners in a collaborative operation must submit their own requests for funding.
- The project should be implemented in the Auvergne-Rhône-Alpes region.
- Applicants should contact the managing authority to verify project eligibility and receive support.
- Applications must be submitted through the e-synergie portal.
- The project should comply with the guidelines outlined in the Document of Implementation (DOMO).
- The project has an open application period, but it is recommended to contact the managing authority before submitting a proposal.
- The Region Auvergne-Rhône-Alpes provides resources and contacts for further information and support.",NA,NA,https://www.europeenauvergnerhonealpes.fr/aides-europeennes/developper-les-energies-renouvelables-domota2221
Accompagner les actions de préservation et de restauration des infrastructures vertes et bleues,NA,"Le projet vise à accompagner les actions de préservation et de restauration des infrastructures vertes et bleues dans la région Auvergne-Rhône-Alpes, en utilisant les financements européens du FEDER. Les bénéficiaires éligibles sont les organismes publics, les collectivités territoriales et leurs groupements, les associations, les chambres consulaires et les syndicats mixtes. Les candidatures peuvent être déposées sur le portail e-synergie, après vérification de l'éligibilité du projet auprès de l'autorité de gestion.",NA,NA,"- Mise en œuvre d’une stratégie territoriale de préservation et de restauration de la trame verte et bleue.
- Opérations coordonnées pour la préservation et la restauration des infrastructures vertes et bleues.
- Candidats éligibles: organismes publics, collectivités territoriales et leurs groupements, associations, chambres consulaires, syndicats mixtes.
- Territoires éligibles: Région Auvergne-Rhône-Alpes.
- Contactez l'autorité de gestion pour vérifier l'éligibilité du projet et être accompagné.
- Déposez la demande sur le portail e-synergie.
- Téléchargez le Document de Mise en Œuvre (DOMO) correspondant.",NA,"Contact name: Région Auvergne-Rhône-Alpes | Direction des Fonds Européens
Contact address: 101 cours Charlemagne CS 20033 69269 LYON CEDEX 02 France
Contact email: NA
Contact phone: NA",https://www.europeenauvergnerhonealpes.fr/aides-europeennes/accompagner-les-actions-de-preservation-et-de-restauration-des-infrastructures
Améliorer l’accessibilité des soins en Auvergne-Rhône-Alpes (DOMO_TA_4.4.5.1),NA,"Le projet vise à améliorer l'accessibilité des soins en Auvergne-Rhône-Alpes en soutenant des investissements dans des équipements de santé, des aménagements nécessaires à leur installation et des infrastructures de santé. Les bénéficiaires éligibles sont les établissements publics de santé, les ESPIC et les établissements de santé privés à but non lucratif.",NA,NA,"1. The project should aim to improve the accessibility of healthcare services in Auvergne-Rhône-Alpes.
2. The project should support investments in healthcare equipment and necessary installations, including new equipment or the replacement of existing equipment with more efficient ones.
3. The project should support investments in healthcare infrastructure buildings.
4. Only certain types of healthcare institutions are eligible to apply, including public healthcare institutions (except the Regional University Hospitals), private healthcare institutions of collective interest, and non-profit private healthcare institutions.
5. Applicants should contact the management authority to verify the eligibility of their project and receive guidance before submitting their application.
6. The application should be submitted through the e-synergie portal.
7. The contact information for the Regional Auvergne-Rhône-Alpes and the European Funds Department should be provided.
8. The Document of Implementation (DOMO) corresponding to the project can be downloaded.
9. The project should comply with the accessibility requirements and regulations.
10. The project should comply with data protection laws and regulations.",NA,"Contact information: 
Région Auvergne-Rhône-Alpes | Direction des Fonds Européens 
101 cours Charlemagne 
CS 20033 
69269 LYON CEDEX 02 
France",https://www.europeenauvergnerhonealpes.fr/aides-europeennes/ameliorer-l-accessibilite-des-soins-en-auvergne-rhone-alpes-domota4451
Soutenir les projets de tourisme social et éducatif (DOMO_TA_4.4.6.2),NA,"The project aims to support social and educational tourism projects, specifically those related to vacation centers, vacation villages, international stay centers, and youth hostels. The goal is to promote social inclusion by providing access to tourism for all, attracting new customers in the future, and sustaining the economy of tourist areas. The FEDER will provide funding for investment projects and their pre-operational studies that contribute to the maintenance and improvement of tourist accommodation and educational stays.",NA,NA,"- Projects must be related to social and educational tourism.
- Projects must involve investment and pre-operational studies.
- Eligible candidates include territorial communities, their associations and operators, mixed economy companies, associations, and SMEs.",NA,Contactez la Région Auvergne-Rhône-Alpes | Direction des Fonds Européens.,https://www.europeenauvergnerhonealpes.fr/aides-europeennes/soutenir-les-projets-de-tourisme-social-et-educatif-domota4462
Lutter contre les inondations (DOMO_TA_8.5.2.1),NA,"Le projet vise à renforcer la capacité du territoire à faire face au risque d'inondation en développant des outils d'aide à la décision, en favorisant la résilience des territoires, en sensibilisant les publics et en réduisant les dommages causés par les inondations. Il est ouvert aux candidats éligibles tels que les collectivités locales, l'Etat, les universités, les PME, les associations, etc. Les candidatures peuvent être déposées sur le portail e-synergie, après vérification d'éligibilité auprès de l'autorité de gestion.",NA,NA,"- Improve knowledge of the risk and develop decision support tools
- Foster resilience of territories through investments to reduce damage costs, minimize dysfunction, and promote activity recovery
- Raise awareness among the public about the risk of flooding and its implications
- Eligible candidates: Local authorities, their groups and operators, the State and its agencies, universities and research laboratories, SMEs and business federations, associations, chambers of commerce
- Eligible territories: Rhône-Saône region",NA,"Contact Name: Région Auvergne-Rhône-Alpes | Direction des Fonds Européens
Contact Email: NA
Contact Phone: NA",https://www.europeenauvergnerhonealpes.fr/aides-europeennes/lutter-contre-les-inondations-domota8521
Améliorer la préservation de la biodiversité spécifique (DOMO_TA_8.5.2.2),NA,Les actions soutenues visent à préserver et restaurer la biodiversité et les fonctionnalités écologiques du Rhône et de la Saône.,NA,NA,"- The project aims to preserve and restore the biodiversity and ecological functions of the Rhône and Saône rivers.
- Eligible candidates include local authorities, their associations, operators, and representatives, as well as state agencies, universities, research laboratories, environmental or research mission associations, and consular bodies.
- The project must be submitted through the e-synergie portal.
- Interested parties should contact the managing authority to verify the eligibility of their project and receive guidance.
- The project must align with the objectives and guidelines outlined in the Document de Mise en Œuvre (DOMO).",NA,"Contactez l’autorité de gestion avant tout dépôt de dossier pour vérifier l’éligibilité de votre projet et être accompagné.

Région Auvergne-Rhône-Alpes | Direction des Fonds Européens
101 cours Charlemagne
CS 20033
69269 LYON CEDEX 02
France",https://www.europeenauvergnerhonealpes.fr/aides-europeennes/ameliorer-la-preservation-de-la-biodiversite-specifique-domota8522
